Country,Year,Male
Iceland,1997,76.3
Iceland,1998,77.7
Iceland,1999,77.4
Iceland,2000,77.8
Iceland,2001,78.3
Iceland,2002,78.6
Iceland,2003,79.5
Iceland,2004,78.9
Iceland,2005,79.6
Iceland,2006,79.5
Iceland,2007,79.6
Iceland,2008,80
Iceland,2009,79.8
Iceland,2010,79.8
Iceland,2011,80.7
Iceland,2012,81.6
Iceland,2013,80.5
Iceland,2014,81.3
Iceland,2015,81.2
Iceland,2016,80.4
Iceland,2017,81.1
Iceland,2018,81.3
Iceland,2019,81.7
Iceland,2020,81.6
Iceland,2021,81.8
Iceland,2022,81
Spain,1990,73.3
Spain,1991,73.4
Spain,1992,73.8
Spain,1993,74
Spain,1994,74.4
Spain,1995,74.4
Spain,1996,74.5
Spain,1997,75.2
Spain,1998,75.3
Spain,1999,75.3
Spain,2000,75.8
Spain,2001,76.3
Spain,2002,76.4
Spain,2003,76.4
Spain,2004,77
Spain,2005,77
Spain,2006,77.8
Spain,2007,77.9
Spain,2008,78.3
Spain,2009,78.8
Spain,2010,79.2
Spain,2011,79.5
Spain,2012,79.5
Spain,2013,80.2
Spain,2014,80.4
Spain,2015,80.1
Spain,2016,80.5
Spain,2017,80.6
Spain,2018,80.7
Spain,2019,81.1
Spain,2020,79.6
Spain,2021,80.4
Spain,2022,80.4
South Africa,1990,60.1
South Africa,1991,59.9
South Africa,1992,59.5
South Africa,1993,59.5
South Africa,1994,59.1
South Africa,1995,58.8
South Africa,1996,58.4
South Africa,1997,57.8
South Africa,1998,57.3
South Africa,1999,56.6
South Africa,2000,56
South Africa,2001,55.4
South Africa,2002,54.6
South Africa,2003,53.2
South Africa,2004,52
South Africa,2005,51.9
South Africa,2006,52.1
South Africa,2007,52.2
South Africa,2008,52.7
South Africa,2009,53.5
South Africa,2010,54.7
South Africa,2011,56.1
South Africa,2012,57.7
South Africa,2013,58.8
South Africa,2014,59.4
South Africa,2015,60.1
South Africa,2016,60.7
South Africa,2017,61.3
South Africa,2018,62
South Africa,2019,62.2
South Africa,2020,62.8
South Africa,2021,62.2
South Africa,2022,59.5
Luxembourg,1990,72.4
Luxembourg,1991,72
Luxembourg,1992,71.9
Luxembourg,1993,72.2
Luxembourg,1994,73.2
Luxembourg,1995,73
Luxembourg,1996,73.3
Luxembourg,1997,74
Luxembourg,1998,73.7
Luxembourg,1999,74.4
Luxembourg,2000,74.6
Luxembourg,2001,75.1
Luxembourg,2002,74.6
Luxembourg,2003,74.8
Luxembourg,2004,76
Luxembourg,2005,76.7
Luxembourg,2006,76.8
Luxembourg,2007,76.7
Luxembourg,2008,78.1
Luxembourg,2009,78.1
Luxembourg,2010,77.9
Luxembourg,2011,78.5
Luxembourg,2012,79.1
Luxembourg,2013,79.8
Luxembourg,2014,79.4
Luxembourg,2015,80
Luxembourg,2016,80.1
Luxembourg,2017,79.9
Luxembourg,2018,80.1
Luxembourg,2019,80.2
Luxembourg,2020,79.9
Luxembourg,2021,80.5
Luxembourg,2022,80.9
Mexico,1990,67
Mexico,1991,68.6
Mexico,1992,68.9
Mexico,1993,69.2
Mexico,1994,69.4
Mexico,1995,69.5
Mexico,1996,70
Mexico,1997,70.4
Mexico,1998,70.7
Mexico,1999,71.3
Mexico,2000,72
Mexico,2001,72.4
Mexico,2002,72.4
Mexico,2003,72.4
Mexico,2004,72.8
Mexico,2005,72.6
Mexico,2006,72.9
Mexico,2007,72.7
Mexico,2008,72.2
Mexico,2009,71.9
Mexico,2010,71.6
Mexico,2011,71.8
Mexico,2012,72
Mexico,2013,72.1
Mexico,2014,72.1
Mexico,2015,71.9
Mexico,2016,72
Mexico,2017,72
Mexico,2018,72.2
Mexico,2019,72.2
Mexico,2020,72.4
Mexico,2021,72.5
Norway,1990,73.4
Norway,1991,74
Norway,1992,74.2
Norway,1993,74.2
Norway,1994,74.9
Norway,1995,74.8
Norway,1996,75.4
Norway,1997,75.5
Norway,1998,75.6
Norway,1999,75.6
Norway,2000,76
Norway,2001,76.2
Norway,2002,76.4
Norway,2003,77.1
Norway,2004,77.6
Norway,2005,77.8
Norway,2006,78.2
Norway,2007,78.3
Norway,2008,78.4
Norway,2009,78.7
Norway,2010,79
Norway,2011,79.1
Norway,2012,79.5
Norway,2013,79.8
Norway,2014,80.1
Norway,2015,80.5
Norway,2016,80.7
Norway,2017,81
Norway,2018,81.1
Norway,2019,81.3
Norway,2020,81.6
Norway,2021,81.7
Norway,2022,81
